"","names","cluster_paper_3","cluster_paper_4"
"2",1011,3,1
"5",1056,1,1
"6",1067,3,1
"7",1076,1,1
"9",1094,3,1
"11",1114,2,1
"15",1129,1,1
"16",1135,3,1
"17",1149,3,1
"18",1155,1,1
"19",1164,2,1
"20",1165,2,1
"23",1192,2,1
"24",1193,3,1
"25",1196,1,1
"29",1218,2,1
"30",1225,3,1
"33",1267,2,1
"36",1299,1,1
"37",1313,3,1
"41",1347,3,1
"43",1372,3,1
"44",1416,3,1
"45",1455,1,1
"46",1456,2,1
"47",1461,3,1
"50",1469,2,1
"53",1500,2,1
"55",1536,3,1
"56",1553,3,1
"57",1578,3,1
"59",1778,3,1
"60",1797,3,1
"67",1903,1,1
"69",1920,3,1
"70",1976,1,1
"72",1985,3,1
"75",2036,2,1
"76",2063,3,1
"77",2097,1,1
"1",1006,2,2
"3",1028,2,2
"4",1029,3,2
"8",1088,3,2
"10",1106,3,2
"12",1115,2,2
"13",1123,1,2
"14",1124,3,2
"21",1182,1,2
"22",1185,2,2
"26",1203,2,2
"27",1210,1,2
"28",1214,2,2
"31",1257,3,2
"32",1261,2,2
"34",1281,3,2
"35",1284,3,2
"38",1316,2,2
"39",1317,2,2
"40",1346,2,2
"42",1370,3,2
"48",1463,2,2
"49",1466,2,2
"51",1473,2,2
"52",1475,2,2
"54",1515,2,2
"58",1639,1,2
"61",1833,2,2
"62",1842,2,2
"63",1862,2,2
"64",1866,2,2
"65",1875,2,2
"66",1877,2,2
"68",1917,1,2
"71",1977,2,2
"73",1989,3,2
"74",2023,3,2
