"","Name","Stat..dist.dir.up.","p.adj..dist.dir.up.","Genes..up.","Stat..dist.dir.dn.","p.adj..dist.dir.dn.","Genes..down.","comp","sign","pvalue","Nb"
"8","G2M_CHECKPOINT",0.69928,1,10,0.30072,0.073427,30,"proteomics_norm_spermin_frac_CBoth-CControl","down",0.073427,30
"38","BILE_ACID_METABOLISM",0.41886,0.06993,12,0.58114,1,10,"proteomics_norm_spermin_frac_CBoth-CControl","up",0.06993,12
"23","E2F_TARGETS",0.70291,1,13,0.29709,0.06993,32,"proteomics_norm_spermin_frac_CBoth-CControl","down",0.06993,32
"4","MITOTIC_SPINDLE",0.55199,0.05035,24,0.44801,1,29,"proteomics_norm_spermin_frac_CSpermine-CControl","up",0.05035,24
"241","MYC_TARGETS_V1",0.82695,1,21,0.17305,0.041958,109,"proteomics_norm_spermin_frac_CSpermine-CControl","down",0.041958,109
"231","E2F_TARGETS",0.84306,1,7,0.15694,0.041958,38,"proteomics_norm_spermin_frac_CSpermine-CControl","down",0.041958,38
"36","COAGULATION",0.38725,0.020979,36,0.61275,1,15,"proteomics_norm_spermin_frac_CBoth-CControl","up",0.020979,36
"35","HEME_METABOLISM",0.42516,0.020979,25,0.57484,1,20,"proteomics_norm_spermin_frac_CBoth-CControl","up",0.020979,25
"24","MYC_TARGETS_V1",0.68278,1,34,0.31722,0.020979,96,"proteomics_norm_spermin_frac_CBoth-CControl","down",0.020979,96
"29","OXIDATIVE_PHOSPHORYLATION",0.66254,1,31,0.33746,0.020979,93,"proteomics_norm_spermin_frac_CBoth-CControl","down",0.020979,93
"361","COAGULATION",0.41481,0.01049,30,0.58519,1,21,"proteomics_norm_spermin_frac_CSpermine-CControl","up",0.01049,30
"25","EPITHELIAL_MESENCHYMAL_TRANSITION",0.41868,0.01049,26,0.58132,1,19,"proteomics_norm_spermin_frac_CSpermine-CControl","up",0.01049,26
