,x
1,P20109_101_R1
2,P20109_102_R1
3,P20109_103_R1
4,P20109_104_R1
5,P20109_105_R1
6,P20109_106_R1
7,P20109_107_R1
8,P20109_108_R1
9,P20109_109_R1
10,P20109_110_R1
11,P20109_111_R1
12,P20109_112_R1
13,P20109_113_R1
14,P20109_114_R1
15,P20109_115_R1
16,P20109_116_R1
17,P20109_117_R1
18,P20109_118_R1
19,P20109_119_R1
20,P20109_120_R1
21,P20109_121_R1
22,P20109_122_R1
23,P20109_123_R1
24,P20109_124_R1
25,P20109_125_R1
26,P20109_126_R1
27,P20109_127_R1
28,P20109_128_R1
29,P20109_129_R1
30,P20109_130_R1
31,P20109_131_R1
32,P20109_132_R1
33,P20109_133_R1
34,P20109_134_R1
35,P20109_135_R1
36,P20109_136_R1
37,P20109_137_R1
38,P20109_138_R1
39,P20109_139_R1
40,P20109_141_R1
41,P20109_142_R1
42,P20109_143_R1
43,P20109_145_R1
44,P20109_146_R1
45,P20109_147_R1
46,P20109_148_R1
47,P20109_149_R1
48,P20109_150_R1
49,P20109_152_R1
50,P20109_153_R1
51,P20109_156_R1
52,P20109_157_R1
53,P20109_158_R1
54,P20109_159_R1
55,P20109_160_R1
56,P20109_161_R1
57,P20109_162_R1
58,P20109_163_R1
59,P20109_164_R1
60,P20109_165_R1
61,P20109_166_R1
62,P20109_167_R1
63,P20109_168_R1
64,P20109_169_R1
65,P20109_170_R1
66,P20109_172_R1
67,P20109_173_R1
68,P20109_174_R1
69,P20109_175_R1
70,P20109_176_R1
71,P20109_178_R1
72,P20109_179_R1
73,P20109_180_R1
74,P20109_181_R1
75,P20109_182_R1
76,P20109_183_R1
77,P20109_184_R1
78,P20109_185_R1
79,P20109_186_R1
80,P20109_187_R1
81,P20109_188_R1
82,P20109_189_R1
83,P20109_190_R1
84,P20109_191_R1
85,P20109_192_R1
86,P20109_193_R1
87,P20109_194_R1
88,P20109_195_R1
89,P20109_196_R1
90,P20109_201_R1
91,P20109_202_R1
92,P20109_203_R1
93,P20109_204_R1
94,P20109_205_R1
95,P20109_206_R1
96,P20109_207_R1
97,P20109_208_R1
98,P20109_209_R1
99,P20109_210_R1
100,P20109_211_R1
101,P20109_212_R1
102,P20109_213_R1
103,P20109_214_R1
104,P20109_215_R1
105,P20109_216_R1
106,P20109_217_R1
107,P20109_218_R1
108,P20109_219_R1
109,P20109_220_R1
110,P20109_221_R1
111,P20109_222_R1
112,P20109_223_R1
113,P20109_224_R1
114,P20109_225_R1
115,P20109_226_R1
116,P20109_227_R1
117,P20109_228_R1
118,P20109_229_R1
119,P20109_230_R1
120,P20109_231_R1
121,P20109_232_R1
122,P20109_233_R1
123,P20109_234_R1
124,P20109_235_R1
125,P20109_236_R1
126,P20109_237_R1
127,P20109_238_R1
128,P20109_239_R1
129,P20109_240_R1
130,P20109_241_R1
131,P20109_242_R1
132,P20109_243_R1
133,P20109_244_R1
134,P20109_245_R1
135,P20109_246_R1
136,P20109_247_R1
137,P20109_248_R1
138,P20109_249_R1
139,P20109_250_R1
140,P20109_251_R1
141,P20109_252_R1
142,P20109_253_R1
143,P20109_254_R1
144,P20109_255_R1
145,P20109_256_R1
146,P20109_257_R1
147,P20109_258_R1
148,P20109_259_R1
149,P20109_260_R1
150,P20109_261_R1
151,P20109_262_R1
152,P20109_263_R1
153,P20109_264_R1
154,P20109_265_R1
155,P20109_266_R1
156,P20109_267_R1
157,P20109_268_R1
158,P20109_269_R1
159,P20109_270_R1
160,P20109_271_R1
161,P20109_272_R1
162,P20109_273_R1
163,P20109_274_R1
164,P20109_275_R1
165,P20109_276_R1
166,P20109_277_R1
167,P20109_278_R1
168,P20109_279_R1
169,P20109_280_R1
170,P20109_281_R1
171,P20109_282_R1
172,P20109_283_R1
173,P20109_284_R1
174,P20109_285_R1
175,P20109_286_R1
176,P20109_287_R1
177,P20109_288_R1
178,P20109_289_R1
179,P20109_290_R1
180,P20109_291_R1
181,P20109_292_R1
182,P20109_293_R1
183,P20109_294_R1
184,P20109_295_R1
185,P20109_296_R1
186,P20109_301_R1
187,P20109_302_R1
188,P20109_303_R1
189,P20109_304_R1
190,P20109_305_R1
191,P20109_306_R1
192,P20109_307_R1
193,P20109_308_R1
194,P20109_309_R1
195,P20109_310_R1
196,P20109_311_R1
197,P20109_402_R1
