"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","sign"
"MIF","MIF",2.7152625,7.82288105889132e-07,4.1461269612124e-05,"group2-group1","up in at-risk"
"CDKN2D","CDKN2D",3.3653875,2.38479088687397e-06,6.31969585021601e-05,"group2-group1","up in at-risk"
"PEBP1","PEBP1",2.5851,4.43014682782225e-06,6.80608543371648e-05,"group2-group1","up in at-risk"
"CDC26","CDC26",2.0122875,5.70753714446995e-06,6.80608543371648e-05,"group2-group1","up in at-risk"
"HSPB1","HSPB1",2.439675,6.42083531482687e-06,6.80608543371648e-05,"group2-group1","up in at-risk"
"CDKN1A","CDKN1A",2.637225,8.96999656619463e-06,7.92349696680526e-05,"group2-group1","up in at-risk"
"BCL2L1","BCL2L1",2.950625,1.27754940575456e-05,9.67287407214164e-05,"group2-group1","up in at-risk"
"SPINT2","SPINT2",1.5220875,2.38583969958429e-05,0.00015806188009746,"group2-group1","up in at-risk"
"BCL2L11","BCL2L11",1.404075,3.50655532165615e-05,0.000206497146719751,"group2-group1","up in at-risk"
"PGD","PGD",1.892925,5.9179106577438e-05,0.000313649264860421,"group2-group1","up in at-risk"
"PDGFB","PDGFB",3.4965125,8.70459937058638e-05,0.000399629162549234,"group2-group1","up in at-risk"
"TXN","TXN",1.7075875,9.04820745394492e-05,0.000399629162549234,"group2-group1","up in at-risk"
"HSPA1A","HSPA1A",1.930425,0.000151004563065791,0.000615633987883608,"group2-group1","up in at-risk"
"RBP2","RBP2",1.5028,0.000267761359254833,0.0009692627096404,"group2-group1","up in at-risk"
"MINK1","MINK1",3.019925,0.000274319634803887,0.0009692627096404,"group2-group1","up in at-risk"
"CSNK2A1","CSNK2A1",1.523075,0.000373454131698238,0.00120585397753334,"group2-group1","up in at-risk"
"MAP2K1","MAP2K1",2.1316875,0.000386783351284278,0.00120585397753334,"group2-group1","up in at-risk"
"LDLRAP1","LDLRAP1",1.7992875,0.000610048487228217,0.00179625387906086,"group2-group1","up in at-risk"
"GPI","GPI",2.0936375,0.00072928767429939,0.00203432877567725,"group2-group1","up in at-risk"
"GAPDH","GAPDH",1.8472625,0.000773518828999125,0.00204982489684768,"group2-group1","up in at-risk"
"MAP2K6","MAP2K6",2.0429625,0.000905692669322836,0.00228579578448144,"group2-group1","up in at-risk"
"APEX1","APEX1",2.370025,0.0010330318857595,0.002459871494677,"group2-group1","up in at-risk"
"TNFSF13","TNFSF13",0.8345875,0.0010674914033504,0.002459871494677,"group2-group1","up in at-risk"
"BACH1","BACH1",0.7293625,0.00167871946799108,0.0037071721584803,"group2-group1","up in at-risk"
"FIS1","FIS1",2.26155,0.00178832350534567,0.00379124583133282,"group2-group1","up in at-risk"
"MAPK9","MAPK9",1.0976125,0.00292297249116926,0.00595836700122964,"group2-group1","up in at-risk"
"DPY30","DPY30",2.16555,0.00435881544859513,0.00855619328798304,"group2-group1","up in at-risk"
"CDC27","CDC27",1.1813,0.00452481029136832,0.00856481948009004,"group2-group1","up in at-risk"
"HBEGF","HBEGF",1.1602125,0.0053866991914782,0.00984465714304636,"group2-group1","up in at-risk"
"CTSD","CTSD",0.7806875,0.0066140910089044,0.0116848941157311,"group2-group1","up in at-risk"
"FOXO1","FOXO1",1.1761375,0.00966826094314149,0.0165296074189193,"group2-group1","up in at-risk"
"SMAD3","SMAD3",1.21155,0.0108490165564182,0.0176848923639752,"group2-group1","up in at-risk"
"NBN","NBN",1.9531625,0.0110113480756827,0.0176848923639752,"group2-group1","up in at-risk"
"PNPT1","PNPT1",1.1112625,0.0115069545078309,0.0179373114386775,"group2-group1","up in at-risk"
"PARP1","PARP1",2.1244375,0.0137361376190514,0.0208004369659922,"group2-group1","up in at-risk"
"NFKB1","NFKB1",1.022,0.0180130322454733,0.0259136524558659,"group2-group1","up in at-risk"
"LGALS9","LGALS9",0.62745,0.0180906630352271,0.0259136524558659,"group2-group1","up in at-risk"
"TADA3","TADA3",0.819175,0.0227817831770323,0.0315447911833848,"group2-group1","up in at-risk"
"TSC22D1","TSC22D1",0.7565125,0.0232122048330567,0.0315447911833848,"group2-group1","up in at-risk"
"SMAD2","SMAD2",0.984,0.0250574698119951,0.0330125963123627,"group2-group1","up in at-risk"
"DKK1","DKK1",0.8946,0.0255380462039032,0.0330125963123627,"group2-group1","up in at-risk"
"MAPKAPK2","MAPKAPK2",0.9785125,0.0355444504370136,0.0448537112657552,"group2-group1","up in at-risk"
"TGFB1","TGFB1",0.5129125,0.046745073100389,0.0576160203330376,"group2-group1","up in at-risk"
"FGF2","FGF2",0.4927,0.0579159682443857,0.0697624162943737,"group2-group1","up in at-risk"
"MAP3K5","MAP3K5",0.725125,0.0681359966186244,0.0802490626841576,"group2-group1","up in at-risk"
"IGFBP7","IGFBP7",0.3411375,0.0761360650228282,0.0877219879610847,"group2-group1","up in at-risk"
"PTEN","PTEN",0.8108625,0.101951462890459,0.114966543259454,"group2-group1","up in at-risk"
"SMARCA2","SMARCA2",0.477812500000002,0.19808908791231,0.218723367903176,"group2-group1","up in at-risk"
"RRM2","RRM2",0.9180875,0.236792379311447,0.25612236945932,"group2-group1","up in at-risk"
"ASS1","ASS1",0.6559125,0.318170037995381,0.337260240275104,"group2-group1","up in at-risk"
"CBS","CBS",0.5713625,0.41619399410825,0.432515327210534,"group2-group1","up in at-risk"
"PGR","PGR",0.06225,0.844938790529899,0.861187613424704,"group2-group1","up in at-risk"
"CXCL8","CXCL8",0.097624999999999,0.965235457918064,0.965235457918064,"group2-group1","up in at-risk"
