"","Odd Ratio","pvalue","CI_Low","CI_high"
"GENDER_Male",3.39041095890198,0.0377894807922527,1.16282486476508,12.3539159454599
"METS_1",2.52941176470537,0.0047894867084885,1.33611577168853,4.86608606305837
"Ethnic_1",8.48571414163725,0.00517319011330592,2.32795541305823,54.6966203985695
"Origin_1",5.09328358200744,0.00447205314663044,1.82019363427058,18.1767925292046
"CD8",1.00083117725821,0.0419233904573099,1.00005061022254,1.00166497463228
"ob6",1.0343769309108,0.0241628811290598,1.00513434157055,1.06634669545507
"ob10",1.04051892085406,0.00276461666513146,1.01450574105256,1.06893445379535
"ob11",1.0238057327858,0.157373133225671,0.991281426402103,1.05849034178757
"H2_53a",0.740335296713944,0.0762885732120919,0.524627424960307,1.02448083059608
"H2_56_2",9.66666666665983,0.0340377758861605,1.74788600144098,181.250003727922
"H2_56_5",12.6315789473595,0.017267374300465,2.31903187805351,235.672686564519
"central_obesity_1",2.03999999999959,0.0383950886146203,1.0482709920966,4.06190548135266
"hypertension_1",2.41164021163984,0.00731798190882269,1.27535479625812,4.63118083517701
"first_drug_TAF-TDF",1.77460317460318,0.0960028029393675,0.909053075625537,3.52386313898894
"VAT",1.00841823612049,0.000456537564653209,1.00385203235541,1.0133578214285
"CDCAIDS_1",2.1923076923077,0.0578699982877913,0.983156125974927,5.04187022478334
"ob2_2",0.124756337400862,0.00666997427740358,0.0192962426244543,0.457656295268992
"ob5",1.01853948141125,0.118919050582152,0.995568461155441,1.04292849675957
"ob8",1.02388038926177,0.0247215794838249,1.00344963322636,1.04589526096998
"ob13",1.01652700659241,0.037708137626297,1.00127220815706,1.03291732370297
"ob19",1.02976523104449,0.0357293924879594,1.00243716399495,1.05918879151615
"H2_32b_1",2.51086956521735,0.0136236725836099,1.21774846167152,5.28056324406179
"H2_52c",1.19281617383061,0.0249613940481395,1.02499744757304,1.39744576299282
"H2_53e",0.606232215756907,0.0600886228593708,0.333858807636593,0.951573348799143
"H2_71a",1.02349192268072,0.0654498689182583,0.99916110408553,1.05013561961402
"status_smoking_Ex smoker",2.29166666666666,0.0672171207928153,0.954082002259661,5.69089680918268
"weight",1.01853948186699,0.118919049880662,0.9955684610872,1.04292849777684
"WHR",241.299240156574,0.0113697009376596,3.87848506752683,19944.0323422512
"eGFR",0.977346408426375,0.0710063414146377,0.952807186371843,1.00166741448386
"alat",1.04314094251834,0.00121708397866946,1.01867350240084,1.07211421631071
"creatini",1.03358264068099,0.0155113086278022,1.00683617418455,1.06247891057643
"Tgl",1.26793094492379,0.0327391129395362,1.02826760559009,1.59721972809943
"Hdl",0.45200844070112,0.0345240691555486,0.210050748184303,0.92407406103551
"CDA_CD8",0.443862062628614,0.0169175337374815,0.218454895110051,0.835810002191656
"CDA_CD8_cat_>1",0.373333333333646,0.00382192562069148,0.188792109208996,0.720597143433132
"VAT_cat_low",0.464767616192384,0.0684530174440176,0.19642043402893,1.03600223154987
